product_1,product_2,times_bought_together,combined_revenue
1630,2503,5,707.55
1699,1648,5,1533.07
2503,1630,5,707.55
1648,1699,5,1533.07
92,459,4,6058.53
75,448,4,3504.45
2091,436,4,8217.00
435,430,4,6748.75
1571,57,4,1961.82
438,1572,4,17179.89
1642,435,4,4068.70
418,1626,4,3758.75
1632,1458,4,3161.91
459,92,4,6058.53
440,432,4,8198.30
61,1573,4,2757.87
2495,90,4,2889.63
1628,1625,4,1644.12
421,1597,4,5975.28
1692,1636,4,303.06
444,97,4,19838.20
90,2495,4,2889.63
434,421,4,17868.00
46,2089,4,5596.75
60,1598,4,3791.96
2089,46,4,5596.75
447,450,4,14936.30
448,75,4,3504.45
1665,1697,4,114.58
1583,1614,4,3109.91
436,2091,4,8217.00
450,455,4,16542.00
432,440,4,8198.30
46,416,4,10820.30
1626,418,4,3758.75
417,424,4,16181.00
1617,1652,4,3203.70
1598,60,4,3791.96
424,417,4,16181.00
1631,1589,4,337.77
1573,61,4,2757.87
1614,1583,4,3109.91
421,434,4,17868.00
97,444,4,19838.20
1625,1628,4,1644.12
460,1590,4,2742.55
1597,421,4,5975.28
101,417,4,8029.00
435,1642,4,4068.70
1652,1617,4,3203.70
57,1571,4,1961.82
1697,1665,4,114.58
430,435,4,6748.75
1589,1631,4,337.77
1636,1692,4,303.06
434,1581,4,12489.00
1581,434,4,12489.00
450,447,4,14936.30
417,101,4,8029.00
416,46,4,10820.30
455,450,4,16542.00
1458,1632,4,3161.91
1590,460,4,2742.55
1572,438,4,17179.89
360,1628,3,3911.12
1667,445,3,3458.50
1627,427,3,3444.91
1588,1609,3,3477.10
1683,1580,3,1179.83
1670,451,3,2848.94
1612,419,3,3644.90
434,431,3,12862.00
69,2489,3,436.78
429,1588,3,1910.82
451,1642,3,4222.20
2511,437,3,4539.70
2488,1576,3,257.82
452,434,3,8568.55
1628,426,3,3638.20
76,440,3,1911.40
1340,456,3,5746.09
428,424,3,8084.40
1589,450,3,8420.85
1682,1585,3,419.35
61,1500,3,2222.00
1704,435,3,1454.60
438,1824,3,13154.00
444,458,3,6204.30
1682,1647,3,2321.70
440,1573,3,3932.13
539,1590,3,11635.23
96,1632,3,988.70
1605,441,3,5428.80
1592,61,3,1391.83
450,1616,3,9417.96
1673,1643,3,848.82
453,63,3,3913.40
89,449,3,7882.87
1411,1599,3,2034.56
73,442,3,1829.00
1660,1636,3,3581.16
436,2501,3,5010.48
440,76,3,1911.40
422,453,3,14666.10
453,1579,3,5135.10
1637,1661,3,263.89
451,1697,3,3413.29
436,1705,3,4086.52
76,1645,3,1095.90
423,1691,3,2428.34
1643,105,3,1784.40
1532,131,3,4720.00
2509,1592,3,248.92
1676,441,3,1185.46
1652,433,3,12998.87
47,444,3,11627.80
1628,424,3,2782.84
1612,67,3,1876.81
1631,2491,3,640.05
1438,1597,3,2783.04
67,1612,3,1876.81
1649,1453,3,3363.95
1590,1663,3,334.47
433,1652,3,12998.87
52,435,3,3899.20
1603,137,3,3489.86
416,1632,3,5903.95
445,1696,3,3438.95
1596,1586,3,291.18
416,446,3,23648.25
1617,419,3,3589.89
66,173,3,1297.18
445,1609,3,8527.93
450,1672,3,2925.90
416,1581,3,9723.00
1642,1629,3,417.21
1423,451,3,5055.00
1661,1637,3,263.89
1609,986,3,2976.95
1621,1633,3,201.15
2493,1639,3,269.85
1625,1675,3,2327.80
442,46,3,5398.05
416,1589,3,7901.85
1698,1650,3,2672.82
2494,445,3,2824.40
1591,459,3,2926.88
455,102,3,13672.00
1596,446,3,2326.10
1644,1597,3,1389.12
441,1676,3,1185.46
1617,1677,3,1040.72
459,1591,3,2926.88
1590,539,3,11635.23
1666,1619,3,641.25
422,448,3,18251.70
100,419,3,4152.00
440,1452,3,4031.35
421,423,3,10499.00
1572,428,3,8215.92
443,1694,3,6004.04
97,432,3,8700.50
93,2090,3,11605.60
422,1625,3,10911.00
1684,452,3,2571.46
1636,1685,3,274.26
1623,73,3,992.65
1672,1636,3,329.28
1733,58,3,3016.64
425,1666,3,3154.68
48,423,3,8236.85
429,458,3,9447.50
1594,55,3,3731.82
1595,2089,3,3364.68
1625,1609,3,2175.95
416,130,3,5676.00
1667,427,3,6113.50
85,48,3,1499.64
417,425,3,12076.00
1632,1649,3,1703.86
1665,1609,3,1089.86
445,1667,3,3458.50
442,1598,3,4473.16
105,1627,3,995.83
1678,449,3,2296.68
1660,442,3,8007.91
450,452,3,10690.45
1581,416,3,9723.00
1619,1666,3,641.25
1664,1589,3,102.89
2508,1638,3,144.63
440,418,3,5288.90
1464,445,3,5719.00
416,1458,3,5907.00
449,1678,3,2296.68
1633,1694,3,131.61
1619,2495,3,1099.70
432,1644,3,7961.54
2511,1612,3,1296.47
106,417,3,10913.90
1642,109,3,1885.28
442,432,3,8237.80
76,1684,3,388.26
1655,418,3,7379.42
1466,124,3,5729.93
443,65,3,6877.00
449,1674,3,3538.93
56,456,3,8188.00
1649,1632,3,1703.86
1656,442,3,5688.73
1661,47,3,1987.85
457,1637,3,4121.01
1656,1463,3,4342.93
1643,424,3,4531.74
1703,418,3,3271.74
444,47,3,11627.80
1581,1758,3,2594.32
1603,2506,3,568.91
1597,1438,3,2783.04
1645,76,3,1095.90
1706,1675,3,146.83
423,435,3,12941.60
1696,445,3,3438.95
453,2510,3,1653.96
1675,451,3,2891.46
1576,2488,3,257.82
1583,1656,3,1084.95
2506,1603,3,568.91
460,427,3,10895.40
1824,438,3,13154.00
1663,454,3,2241.88
1692,67,3,189.09
440,1606,3,3259.47
1590,99,3,1046.01
2489,1614,3,3529.77
435,52,3,3899.20
1586,1788,3,452.92
440,417,3,5793.50
79,1440,3,2268.70
1572,1646,3,3153.72
57,1675,3,2076.23
1681,426,3,4061.21
422,1614,3,10280.94
423,1727,3,4865.00
1636,82,3,582.74
1648,446,3,4399.18
445,2494,3,2824.40
437,2511,3,4539.70
418,1655,3,7379.42
424,50,3,2219.55
1594,444,3,12965.90
427,1637,3,3029.88
456,1340,3,5746.09
82,1636,3,582.74
423,439,3,10462.00
457,1581,3,2194.75
1659,94,3,1896.94
2495,1619,3,1099.70
1671,1646,3,1629.84
1605,1709,3,3891.19
421,444,3,20801.00
1601,1692,3,500.94
1639,2493,3,269.85
1614,2489,3,3529.77
1548,448,3,4017.30
1595,1653,3,1507.46
426,1681,3,4061.21
421,1619,3,2175.95
1643,113,3,3520.80
442,73,3,1829.00
425,59,3,5235.00
1635,56,3,5079.35
109,1642,3,1885.28
424,428,3,8084.40
47,457,3,1409.60
427,1627,3,3444.91
460,430,3,9777.30
1653,1595,3,1507.46
94,1659,3,1896.94
1630,60,3,2256.90
1633,453,3,1476.63
417,446,3,7309.70
1609,1625,3,2175.95
1647,1682,3,2321.70
458,1661,3,2321.00
418,1703,3,3271.74
451,1423,3,5055.00
1561,440,3,4353.65
67,1692,3,189.09
1604,1586,3,2923.19
440,1614,3,4139.55
439,1679,3,4499.50
2089,1595,3,3364.68
419,1617,3,3589.89
443,1752,3,3771.00
105,1643,3,1784.40
426,1628,3,3638.20
427,435,3,11354.20
2495,433,3,15643.86
113,1643,3,3520.80
1620,429,3,8164.64
452,450,3,10690.45
1691,423,3,2428.34
423,1668,3,3022.96
451,1670,3,2848.94
1627,105,3,995.83
418,445,3,8000.45
1452,440,3,4031.35
2501,436,3,5010.48
1672,1669,3,229.14
48,1581,3,4784.50
105,422,3,13747.00
1703,1644,3,516.94
1644,432,3,7961.54
1646,1572,3,3153.72
61,1592,3,1391.83
48,85,3,1499.64
451,1602,3,8867.88
1456,1583,3,3121.12
1652,1589,3,1559.80
425,1675,3,3362.34
434,452,3,8568.55
1638,2508,3,144.63
100,1645,3,1348.20
435,1704,3,1454.60
434,1624,3,4367.00
1700,84,3,1435.38
1591,438,3,5653.26
1636,1672,3,329.28
428,1572,3,8215.92
454,416,3,11309.40
54,88,3,4151.96
449,1576,3,3567.94
448,422,3,18251.70
1619,421,3,2175.95
1609,1588,3,3477.10
452,1684,3,2571.46
1752,443,3,3771.00
61,419,3,5876.00
78,71,3,630.45
1609,1665,3,1089.86
2086,439,3,18512.00
1685,1636,3,274.26
1625,422,3,10911.00
60,79,3,1850.05
429,1620,3,8164.64
446,1648,3,4399.18
137,1603,3,3489.86
450,1791,3,10668.00
1602,451,3,8867.88
147,1604,3,45059.79
430,1657,3,2339.73
1652,1662,3,2063.77
1548,447,3,4390.90
1791,450,3,10668.00
1709,1605,3,3891.19
2489,69,3,436.78
438,434,3,11783.00
1675,57,3,2076.23
1691,422,3,7832.85
1647,1620,3,2763.82
75,1614,3,4723.43
422,1691,3,7832.85
1573,1578,3,1802.88
1681,446,3,2990.26
1584,419,3,3071.88
183,450,3,18006.00
1663,1590,3,334.47
1598,442,3,4473.16
424,1643,3,4531.74
425,89,3,5477.93
1676,452,3,1849.50
427,1667,3,6113.50
448,445,3,6592.80
435,427,3,11354.20
1648,1615,3,6139.72
1606,1626,3,1734.96
419,1612,3,3644.90
1633,1621,3,201.15
1588,429,3,1910.82
1667,459,3,1371.50
1626,1606,3,1734.96
173,66,3,1297.18
449,114,3,4942.90
1652,1665,3,1644.86
46,446,3,4498.85
1679,439,3,4499.50
422,105,3,13747.00
115,1609,3,4089.84
450,432,3,11512.80
2090,459,3,11009.20
454,1597,3,2583.86
440,1561,3,4353.65
460,1675,3,4629.41
1630,52,3,982.92
1642,451,3,4222.20
446,46,3,4498.85
1347,434,3,3121.00
1674,2515,3,89.42
78,1583,3,327.76
424,1628,3,2782.84
114,449,3,4942.90
1604,147,3,45059.79
1641,2489,3,211.88
1277,1646,3,1057.00
1671,1675,3,78.17
1661,458,3,2321.00
1613,1581,3,3619.87
1670,1697,3,80.89
1597,454,3,2583.86
1632,96,3,988.70
458,444,3,6204.30
460,436,3,6527.30
447,1548,3,4390.90
416,456,3,8907.00
453,422,3,14666.10
1672,450,3,2925.90
422,1675,3,10721.01
1648,103,3,2374.92
1583,78,3,327.76
2510,453,3,1653.96
431,2087,3,9649.00
1637,427,3,3029.88
56,1635,3,5079.35
420,87,3,5898.91
1578,1573,3,1802.88
109,1445,3,2937.90
425,417,3,12076.00
1650,1698,3,2672.82
1645,100,3,1348.20
1598,107,3,1509.73
423,421,3,10499.00
448,72,3,2494.85
1675,424,3,4138.82
1636,1660,3,3581.16
457,47,3,1409.60
1613,2102,3,10942.94
445,60,3,4602.00
1666,425,3,3154.68
71,78,3,630.45
1741,1425,3,3426.00
432,1636,3,3727.18
444,1594,3,12965.90
1597,1589,3,361.39
1665,421,3,1890.97
427,460,3,10895.40
1605,430,3,5079.54
105,460,3,3664.20
84,1700,3,1435.38
419,1584,3,3071.88
1601,1653,3,2599.80
87,420,3,5898.91
1615,1648,3,6139.72
