region,product_name,total_sales,profit_margin
Freistaat Thüringen,A. Datum Advanced Digital Camera M300 Azure,377.00,203.64
Kansas,A. Datum Advanced Digital Camera M300 Azure,188.50,101.82
Montana,A. Datum Advanced Digital Camera M300 Azure,188.50,101.82
Iowa,A. Datum Advanced Digital Camera M300 Green,1508.00,814.56
Online,A. Datum Advanced Digital Camera M300 Green,565.50,305.46
Oregon,A. Datum Advanced Digital Camera M300 Green,942.50,509.10
Hawaii,A. Datum Advanced Digital Camera M300 Pink,754.00,407.28
Online,A. Datum Advanced Digital Camera M300 Pink,2827.50,1527.30
Drenthe,A. Datum All in One Digital Camera M200 Azure,188.00,101.55
Kansas,A. Datum All in One Digital Camera M200 Azure,1316.00,710.85
Nebraska,A. Datum All in One Digital Camera M200 Black,940.00,507.75
Nevada,A. Datum All in One Digital Camera M200 Green,188.00,101.55
Sachsen-Anhalt,A. Datum All in One Digital Camera M200 Green,752.00,406.20
Pesaro,A. Datum All in One Digital Camera M200 Orange,188.00,101.55
South Carolina,A. Datum All in One Digital Camera M200 Orange,1504.00,812.40
Nunavut,A. Datum All in One Digital Camera M200 Pink,564.00,304.65
Ayrshire,A. Datum All in One Digital Camera M200 Silver,752.00,406.20
Connecticut,A. Datum All in One Digital Camera M200 Silver,376.00,203.10
Dungannon and South Tyrone,A. Datum All in One Digital Camera M200 Silver,564.00,304.65
Dungannon and South Tyrone,A. Datum Bridge Digital Camera M300 Black,747.60,403.80
Nevada,A. Datum Bridge Digital Camera M300 Green,560.70,302.85
Blaenau Gwent,A. Datum Bridge Digital Camera M300 Grey,1308.30,706.65
Pesaro,A. Datum Bridge Digital Camera M300 Pink,560.70,302.85
South Carolina,A. Datum Bridge Digital Camera M300 Pink,934.50,504.75
Groningen,A. Datum Compact Digital Camera M200 Azure,129.00,69.68
Kansas,A. Datum Compact Digital Camera M200 Black,903.00,487.76
Ayrshire,A. Datum Compact Digital Camera M200 Orange,129.00,69.68
Online,A. Datum Compact Digital Camera M200 Orange,903.00,487.76
Online,A. Datum Compact Digital Camera M200 Pink,387.00,209.04
Hamburg,A. Datum Compact Digital Camera M200 Silver,516.00,278.72
Basse-Normandie,A. Datum Consumer Digital Camera E100 Green,281.00,137.74
Blaenau Gwent,A. Datum Consumer Digital Camera E100 Orange,1124.00,550.96
West Virginia,A. Datum Consumer Digital Camera E100 Orange,281.00,137.74
Connecticut,A. Datum Consumer Digital Camera E100 Pink,281.00,137.74
Drenthe,A. Datum Consumer Digital Camera E100 Silver,562.00,275.48
Corse,A. Datum Consumer Digital Camera M300 Azure,738.00,398.64
Nevada,A. Datum Consumer Digital Camera M300 Grey,1660.50,896.94
Nunavut,A. Datum Consumer Digital Camera M300 Grey,369.00,199.32
Blaenau Gwent,A. Datum Consumer Digital Camera M300 Orange,369.00,199.32
Northwest Territories,A. Datum Consumer Digital Camera M300 Orange,369.00,199.32
Utah,A. Datum Consumer Digital Camera M300 Orange,922.50,498.30
Freistaat Thüringen,A. Datum Full Frame Digital Camera X300 Black,924.00,617.88
Pesaro,A. Datum Full Frame Digital Camera X300 Black,1617.00,1081.29
Oregon,A. Datum Full Frame Digital Camera X300 Grey,1155.00,772.35
Kansas,A. Datum Full Frame Digital Camera X300 Orange,462.00,308.94
Connecticut,A. Datum Full Frame Digital Camera X300 Pink,462.00,308.94
Corse,A. Datum Full Frame Digital Camera X300 Silver Grey,231.00,154.47
Online,A. Datum Interchangeable lens Non-SLR Digital Camera X250 Green,4288.00,2867.36
Australian Capital Territory,A. Datum Interchangeable lens Non-SLR Digital Camera X250 Grey,536.00,358.42
Nebraska,A. Datum Interchangeable lens Non-SLR Digital Camera X250 Grey,268.00,179.21
Dungannon and South Tyrone,A. Datum Interchangeable lens Non-SLR Digital Camera X250 Orange,268.00,179.21
Victoria,A. Datum Interchangeable lens Non-SLR Digital Camera X250 Orange,2144.00,1433.68
Nunavut,A. Datum Advanced Digital Camera M300 Black,1696.50,916.38
Freie Hansestadt Bremen,A. Datum Advanced Digital Camera M300 Green,2073.50,1120.02
New Hampshire,A. Datum Advanced Digital Camera M300 Grey,377.00,203.64
Idaho,A. Datum Advanced Digital Camera M300 Pink,377.00,203.64
Pesaro,A. Datum Advanced Digital Camera M300 Silver,377.00,203.64
Dungannon and South Tyrone,A. Datum All in One Digital Camera M200 Pink,188.00,101.55
Online,A. Datum All in One Digital Camera M200 Silver,3384.00,1827.90
Victoria,A. Datum All in One Digital Camera M200 Silver,188.00,101.55
Wyoming,A. Datum All in One Digital Camera M200 Silver,752.00,406.20
Ayrshire,A. Datum Bridge Digital Camera M300 Black,747.60,403.80
Friesland,A. Datum Bridge Digital Camera M300 Green,373.80,201.90
South Carolina,A. Datum Bridge Digital Camera M300 Green,1308.30,706.65
Flevoland,A. Datum Bridge Digital Camera M300 Grey,373.80,201.90
