region,product,on_time_fulfillment_rate
Online,A. Datum Consumer Digital Camera E100 Silver,100.000000000000
Online,A. Datum Advanced Digital Camera M300 Black,100.000000000000
Online,A. Datum Bridge Digital Camera M300 Grey,100.000000000000
Online,A. Datum Bridge Digital Camera M300 Orange,100.000000000000
Online,A. Datum Full Frame Digital Camera X300 Silver Grey,100.000000000000
Online,Adventure Works Desk Lamp E1300 Blue,100.000000000000
Online,A. Datum Consumer Digital Camera M300 Pink,100.000000000000
Online,Contoso 90W AC/DC Power Adapter E300 Black,100.000000000000
Online,Contoso 4GB Flash MP3 Player E401 White,100.000000000000
Online,A. Datum Consumer Digital Camera M300 Orange,100.000000000000
Online,A. Datum Consumer Digital Camera M300 Grey,100.000000000000
Online,A. Datum SLR Camera M139 Gold,100.000000000000
Online,Contoso 2-Line Speakerphone M109 Black,100.000000000000
Online,"A. Datum SLR Camera 35"" M358 Blue",100.000000000000
Online,A. Datum SLR Camera X142 Orange,100.000000000000
Online,Contoso Connectivity Starter Kit Smart Buy M680 Grey,100.000000000000
Online,Contoso Air conditioner 6000BTU E0180 Grey,100.000000000000
Online,A. Datum Bridge Digital Camera M300 Silver,100.000000000000
Online,A. Datum Slim Digital Camera M180 Azure,100.000000000000
Online,Adventure Works Laptop15.4W M1548 White,100.000000000000
Online,Contoso 4 Handset Cordless Phone System M86 Grey,100.000000000000
Online,Contoso Air conditioner 25000BTU L1672 Grey,100.000000000000
Online,A. Datum Rangefinder Digital Camera X200 Pink,100.000000000000
Online,Contoso Microwave 1.5CuFt X0110 Grey,100.000000000000
Online,Contoso ADSL Modem Splitter/Filter X 1 E100 Grey,100.000000000000
Online,Adventure Works Coffee Maker 12C M100 Grey,100.000000000000
Online,A. Datum Point Shoot Digital Camera M500 Green,100.000000000000
Online,Contoso Home Theater System 5.1 Channel M1500 Black,100.000000000000
Online,Contoso Coffee Maker Auto 10C M1000 Black,100.000000000000
Online,A. Datum SLR Camera X140 Pink,100.000000000000
Online,Contoso Education Essentials Bundle M300 White,100.000000000000
Online,"Contoso SLR Camera 35"" M358 Gold",100.000000000000
Online,Contoso Air conditioner 10000BTU M0490 Silver,100.000000000000
Online,Contoso ADSL Modem Splitter/Filter X 1 E100 White,100.000000000000
Online,Adventure Works Floor Lamp X1150 Silver,100.000000000000
Online,Contoso Air conditioner 8000BTU M0320 Blue,100.000000000000
Online,Contoso Home/Office Laptop Power Adapter E300 Grey,100.000000000000
Online,Contoso Battery charger - bike E200 Black,100.000000000000
Online,Contoso Integrated Business Phone L08 Black,100.000000000000
Online,Contoso Rechargeable Battery Pack E310 Black,100.000000000000
Online,Contoso Bright Light battery E20 Black,100.000000000000
Online,Contoso Education Essentials Bundle M300 Black,100.000000000000
Online,Contoso Coffee Maker 5C E0900 White,100.000000000000
Online,Contoso Lens cap E80 Grey,100.000000000000
Online,Contoso Projector 1080p X980 Silver,100.000000000000
Online,Contoso 4-Line Corded Cordless Telephone M203 White,100.000000000000
Online,Contoso Home Theater System 5.1 Channel M1500 White,100.000000000000
Online,"Contoso SLR Camera 35"" M358 Orange",100.000000000000
Online,Contoso Screen 100in E010 White,100.000000000000
Online,Contoso Bright Light battery E20 Pink,100.000000000000
Online,Contoso Home Theater System 2.1 Channel M1230 Black,100.000000000000
Online,Contoso Centrex Phone System L10 Grey,100.000000000000
Online,Contoso Projector 720p M620 Black,100.000000000000
Online,Fabrikam Microwave 0.8CuFt E0800 Silver,100.000000000000
Online,Contoso Hybrid system M60 White,100.000000000000
Online,Contoso Washer & Dryer 24in M240 Silver,100.000000000000
Online,Contoso Telephoto Conversion Lens M350 Black,100.000000000000
Online,Contoso Home Theater System 2.1 Channel E1220 Black,100.000000000000
Online,Contoso Home Theater System 4.1 Channel M1420 Silver,100.000000000000
Online,Contoso USB Optical Mouse E200 Gold,100.000000000000
Online,Contoso SLR Camera X142 Black,100.000000000000
Online,Contoso Multimedia Speakers M25 White,100.000000000000
Online,Contoso Screen 85in E085 White,100.000000000000
Online,Fabrikam Independent Filmmaker 1/2'' 3mm X300 Grey,100.000000000000
Online,Contoso Home Theater System 7.1 Channel M1700 Black,100.000000000000
Online,Contoso Digital Camera/Camcorder USB Cable E324 Black,100.000000000000
Online,Fabrikam Coffee Maker Auto 5C E090 White,100.000000000000
Online,Contoso SLR Camera X145 Pink,100.000000000000
Online,Fabrikam Budget Moviemaker 1/3'' 8.5mm E200 Grey,100.000000000000
Online,Fabrikam Refrigerator 24.7CuFt X9800 Blue,100.000000000000
Online,"Fabrikam SLR Camera 35"" M358 Green",100.000000000000
Online,Contoso Washer & Dryer 27in L270 Red,100.000000000000
Online,Contoso SLR Camera X144 Silver Grey,100.000000000000
Online,Contoso Home Theater System 2.1 Channel E1220 White,100.000000000000
Online,Fabrikam Refrigerator 4.6CuFt E2800 Brown,100.000000000000
Online,Contoso Wireless Notebook Optical Mouse X205 Blue,100.000000000000
Online,Fabrikam Refrigerator 9.7CuFt M5600 Orange,100.000000000000
Online,Contoso Washer & Dryer 25.5in M255 Silver,100.000000000000
Online,Fabrikam SLR Camera X148 Gold,100.000000000000
Online,Litware 3-Speed Oscillating High-Performance Fan E201 Silver,100.000000000000
Online,Litware 3-Speed Oscillating Blower Fan M115 Silver,100.000000000000
Online,Contoso Mouse Lock Bundle E200 White,100.000000000000
Online,Litware Home Theater System 5.1 Channel M511 Brown,100.000000000000
Online,Contoso Washer & Dryer 24in M240 Pink,100.000000000000
Online,Fabrikam Refrigerator 24.7CuFt X9800 Green,100.000000000000
Online,Fabrikam Refrigerator 9.7CuFt M5600 White,100.000000000000
Online,Fabrikam Refrigerator 4.6CuFt E2800 Silver,100.000000000000
Online,Fabrikam Independent Filmmaker 1'' 25mm X400 Black,100.000000000000
Online,Litware Washer & Dryer 21in E214 Green,100.000000000000
Online,Contoso Microwave 2.2CuFt M0125 Grey,100.000000000000
Online,Litware Washer & Dryer 21in E214 Silver,100.000000000000
Online,Fabrikam Refrigerator 24.7CuFt X9800 White,100.000000000000
Online,"Fabrikam SLR Camera 35"" X358 Silver Grey",100.000000000000
Online,Contoso Mouse Lock Bundle E200 Grey,100.000000000000
Online,Litware Refrigerator 3.2CuFt E160 White,100.000000000000
Online,Litware Home Theater System 5.1 Channel M512 Brown,100.000000000000
Online,Litware Refrigerator 19CuFt M760 Brown,100.000000000000
Online,Contoso Optical USB Mouse M45 Black,100.000000000000
Online,NT Washer & Dryer 15.5in E1550 Blue,100.000000000000
Online,Contoso Wireless Laser Mouse E50 Black,100.000000000000
Online,Litware Desk Lamp E1030 White,100.000000000000
Online,"Litware 16"" White Oscillating Stand Fan E701 Grey",100.000000000000
Online,Litware Microwave 0.8CuFt E080 White,100.000000000000
Online,Fabrikam Microwave 1.0CuFt E1100 Blue,100.000000000000
Online,NT Washer & Dryer 27in L2700 White,100.000000000000
Online,"Contoso SLR Camera 35"" X358 Orange",100.000000000000
Online,Proseware All-In-One Photo Printer M200 Green,100.000000000000
Online,Litware 18'' Oscillating Pedestal Fan M145 Yellow,100.000000000000
Online,Litware Refrigerator 9.7CuFt M560 Blue,100.000000000000
Online,Fabrikam Social Videographer 1/2'' 3mm E300 Black,100.000000000000
Online,Proseware Air conditioner 7000BTU E260 Red,100.000000000000
Online,Litware Microwave 1.6CuFt M125 Silver,100.000000000000
Online,SV Car Video LCD7W M7082 Black,100.000000000000
Online,Contoso Washer & Dryer 15.5in E155 Green,100.000000000000
Online,SV 80GB USB2.0 Portable Hard Disk E500 Blue,100.000000000000
Online,Litware 20'' Weather-Shield Performance Box Fan E1601 Orange,100.000000000000
Online,Litware Refrigerator 1.7CuFt E120 Brown,100.000000000000
Online,Litware 92mm DBB Case Fan E1101 Black,100.000000000000
Online,Proseware Projector 720p LCD56 Black,100.000000000000
Online,Fabrikam Refrigerator 19CuFt M7600 Grey,100.000000000000
Online,Proseware Ink Jet Wireless All-In-One Printer M400 White,100.000000000000
Online,Contoso Washer & Dryer 25.5in M255 Red,100.000000000000
Online,WWI Chandelier M815 Silver,100.000000000000
Online,Contoso USB Optical Mouse E200 Black,100.000000000000
Online,SV Car Video LCD9.2W X9281 Brown,100.000000000000
Online,Fabrikam Social Videographer 1/2'' 3mm E300 White,100.000000000000
Online,WWI Projector 720p LCD56 White,100.000000000000
Online,Litware Home Theater System 7.1 Channel X711 Brown,100.000000000000
Online,WWI Projector 480p DLP12 Silver,100.000000000000
Online,"Fabrikam Business Videographer 1/3"" 8.5mm M380 Orange",100.000000000000
Online,Fabrikam Microwave 1.5CuFt X1100 Silver,100.000000000000
Online,Proseware 23ppm Laser Printer with Wireless and Wired Network Interfaces M680 Black,100.000000000000
Online,Litware Desk Lamp E1020 Grey,100.000000000000
Online,Contoso Washer & Dryer 15.5in E155 Silver,100.000000000000
Online,Proseware Fax phone E100 Grey,100.000000000000
Online,Litware 18'' Oscillating Pedestal Fan M135 Pink,100.000000000000
Online,Litware Refrigerator 9.7CuFt M560 Red,100.000000000000
Online,Fabrikam Microwave 1.6CuFt M1250 Blue,100.000000000000
Online,Litware Washer & Dryer 24in M260 Green,100.000000000000
Online,Proseware Air conditioner 5200BTU E100 White,100.000000000000
