product_name,region,total_orders,late_orders,late_delivery_rate
A. Datum Compact Digital Camera M200 Black,Online,3,3,100.000000000000
A. Datum Rangefinder Digital Camera X200 Green,Online,3,3,100.000000000000
Contoso Expandable1-Handset Cordless Phone System M207 Grey,Online,1,1,100.000000000000
A. Datum All in One Digital Camera M200 Black,Online,1,1,100.000000000000
A. Datum Bridge Digital Camera M300 Green,Online,3,3,100.000000000000
A. Datum Point Shoot Digital Camera M500 Silver,Online,1,1,100.000000000000
Adventure Works Floor Lamp M2150 Blue,Online,1,1,100.000000000000
Contoso Washer & Dryer 21in E210 Silver,Online,1,1,100.000000000000
A. Datum SLR-like Digital Camera M400 Silver,Online,2,2,100.000000000000
Contoso Single-line phones E10 Grey,Online,1,1,100.000000000000
Contoso Home Theater System 4.1 Channel M1410 Black,Online,1,1,100.000000000000
Contoso Home Theater System 4.1 Channel M1400 White,Online,1,1,100.000000000000
A. Datum Consumer Digital Camera E100 Pink,Online,2,2,100.000000000000
A. Datum SLR Camera M135 Black,Online,2,2,100.000000000000
Contoso 4GB Portable MP3 Player M450 White,Online,4,4,100.000000000000
A. Datum Interchangeable lens Non-SLR Digital Camera X250 Grey,Online,1,1,100.000000000000
Adventure Works Chandelier M6150 Blue,Online,1,1,100.000000000000
A. Datum Slim Digital Camera M180 Silver,Online,3,3,100.000000000000
Contoso Laptop Cooling Hub notebook fan with 4 ports USB hub M200 Gold,Online,1,1,100.000000000000
A. Datum Compact Digital Camera M200 Grey,Online,2,2,100.000000000000
A. Datum Point Shoot Digital Camera M500 Pink,Online,1,1,100.000000000000
"A. Datum SLR Camera 35"" X358 Silver Grey",Online,5,5,100.000000000000
Contoso ADSL Modem Splitter/Filter X 3 E300 White,Online,1,1,100.000000000000
Contoso Washer & Dryer 25.5in M255 White,Online,1,1,100.000000000000
Adventure Works Chandelier M8150 Blue,Online,1,1,100.000000000000
Contoso Smart Battery M901 Grey,Online,1,1,100.000000000000
Contoso Lens Adapter M450 Silver,Online,4,4,100.000000000000
Contoso Multimedia Speakers M25 Blue,Online,1,1,100.000000000000
"Adventure Works 19"" Color Digital TV E35 Brown",Online,4,4,100.000000000000
A. Datum SLR Camera X136 Silver,Online,4,4,100.000000000000
Contoso Air conditioner 5200BTU E0100 Grey,Online,1,1,100.000000000000
A. Datum SLR Camera M138 Silver Grey,Online,1,1,100.000000000000
Adventure Works Wall Lamp E3150 Blue,Online,1,1,100.000000000000
Contoso 8GB Super-Slim MP3/Video Player M800 Red,Online,3,3,100.000000000000
Contoso Multimedia Speakers M25 Brown,Online,3,3,100.000000000000
A. Datum Consumer Digital Camera M300 Green,Online,1,1,100.000000000000
Adventure Works Coffee Maker Auto 5C E090 Black,Online,2,2,100.000000000000
A. Datum Super-zoom Digital Camera X300 Grey,Online,2,2,100.000000000000
Contoso Coffee Maker Super-Auto 12C X1250 Silver,Online,1,1,100.000000000000
Fabrikam Budget Movie-Maker 1/2'' 3mm E300 Black,Online,1,1,100.000000000000
Contoso Cables To Go USB 2.0 Hard Drive Enclosure E920 Grey,Online,1,1,100.000000000000
Contoso Ultraportable Neoprene Sleeve E30 Black,Online,2,2,100.000000000000
Contoso Phone with Memory Dialing-2 lines E90 Black,Online,4,4,100.000000000000
Contoso Ultraportable Neoprene Sleeve E30 Pink,Online,1,1,100.000000000000
Adventure Works Floor Lamp X1150 White,Online,2,2,100.000000000000
A. Datum Super-zoom Digital Camera X300 Green,Online,3,3,100.000000000000
Contoso Dual USB Power Adapter - power adapter E300 Black,Online,1,1,100.000000000000
A. Datum Super-zoom Digital Camera X300 Black,Online,1,1,100.000000000000
Contoso Screen 125in M250 Black,Online,1,1,100.000000000000
Contoso ADSL Modem Splitter/Filter X 2 E200 Black,Online,3,3,100.000000000000
Contoso Screen 80in E080 Black,Online,5,5,100.000000000000
A. Datum Full Frame Digital Camera X300 Grey,Online,2,2,100.000000000000
Contoso 4-Line Corded Cordless Telephone M203 Grey,Online,7,7,100.000000000000
"Adventure Works 37"" 1080p LCD HDTV M150W Black",Online,6,6,100.000000000000
Contoso Expandable 2-Handset Cordless Phone System M205 White,Online,5,5,100.000000000000
Fabrikam Coffee Maker Auto 10C M100 Black,Online,1,1,100.000000000000
"Contoso SLR Camera 35"" M358 Blue",Online,1,1,100.000000000000
Contoso USB 2.0 Dock Station docking station M800 Black,Online,2,2,100.000000000000
Contoso Washer & Dryer 15.5in E155 Pink,Online,1,1,100.000000000000
Contoso Washer & Dryer 27in L270 Green,Online,1,1,100.000000000000
Contoso Air conditioner 25000BTU L1672 Blue,Online,1,1,100.000000000000
A. Datum Ultra Compact Digital Camera M190 Pink,Online,2,2,100.000000000000
Contoso Expandable Cordless Phone System M008 Grey,Online,1,1,100.000000000000
A. Datum Ultra Compact Digital Camera M190 Grey,Online,1,1,100.000000000000
Contoso Travel Charger for S-Series Battery E302 Black,Online,4,4,100.000000000000
Contoso ADSL Modem Splitter/Filter X 3 E300 Black,Online,1,1,100.000000000000
Contoso Wireless Notebook Optical Mouse X205 Black,Online,1,1,100.000000000000
"A. Datum SLR Camera 35"" X358 Silver",Online,3,3,100.000000000000
Contoso Bluetooth Notebook Mouse E70 Silver,Online,1,1,100.000000000000
Contoso 32GB Video MP3 Player M3200 Orange,Online,2,2,100.000000000000
Contoso Expandable Cordless Phone System M008 White,Online,4,4,100.000000000000
Fabrikam Home and Vacation Moviemaker 1/2'' 3mm M300 Black,Online,1,1,100.000000000000
Contoso USB Cable M250 Blue,Online,3,3,100.000000000000
Contoso Wireless Laser Mouse M55 Grey,Online,1,1,100.000000000000
Contoso Wireless Notebook Optical Mouse X205 Orange,Online,1,1,100.000000000000
Fabrikam Coffee Maker 4C E080 Black,Online,2,2,100.000000000000
Contoso Home Theater System 2.1 Channel M1230 Brown,Online,1,1,100.000000000000
Adventure Works Chandelier M8150 Grey,Online,2,2,100.000000000000
Contoso Home Theater System 2.1 Channel E1220 Silver,Online,1,1,100.000000000000
Adventure Works CRT19 E10 White,Online,2,2,100.000000000000
Contoso USB Wave Multi-media Keyboard E280 Black,Online,2,2,100.000000000000
Contoso Air conditioner 10000BTU M0490 White,Online,4,4,100.000000000000
"Fabrikam Business Videographer 1/2"" 3mm M500 Blue",Online,1,1,100.000000000000
Adventure Works Coffee Maker Auto 5C E090 White,Online,3,3,100.000000000000
Contoso Multi-Use Terminal Cable E308 Black,Online,2,2,100.000000000000
Contoso 32GB Video MP3 Player M3200 Pink,Online,5,5,100.000000000000
Contoso Home Theater System 5.1 Channel M1540 White,Online,1,1,100.000000000000
Fabrikam Home and Vacation Moviemaker 1/3'' 8.5mm M200 White,Online,2,2,100.000000000000
Contoso Washer & Dryer 21in E210 Blue,Online,2,2,100.000000000000
Contoso Wireless Notebook Optical Mouse X205 White,Online,3,3,100.000000000000
Fabrikam Microwave 1.0CuFt E1100 White,Online,3,3,100.000000000000
Fabrikam Coffee Maker 5C E090 Silver,Online,2,2,100.000000000000
Contoso Optical Wheel OEM PS/2 Mouse E60 Grey,Online,1,1,100.000000000000
Adventure Works Laptop15 M1501 Blue,Online,3,3,100.000000000000
Contoso Home Theater System 7.1 Channel M1700 Brown,Online,2,2,100.000000000000
Cigarette Lighter Adapter for Contoso Phones E110 White,Online,10,10,100.000000000000
Contoso Water Heater 2.6GPM E0900 Green,Online,6,6,100.000000000000
Contoso Bluetooth Notebook Mouse X305 Silver,Online,2,2,100.000000000000
Fabrikam Microwave 1.5CuFt X1100 Black,Online,1,1,100.000000000000
Adventure Works LCD20W M240 Black,Online,3,3,100.000000000000
Contoso Private Branch Exchange M88 Grey,Online,6,6,100.000000000000
Contoso Bluetooth Notebook Mouse E70 White,Online,2,2,100.000000000000
Contoso Home Theater System 7.1 Channel M1700 White,Online,1,1,100.000000000000
Fabrikam Microwave 0.8CuFt E0800 White,Online,1,1,100.000000000000
Fabrikam Budget Movie-Maker 1/3'' 8.5mm E200 Black,Online,3,3,100.000000000000
Fabrikam Coffee Maker Auto 5C E090 Grey,Online,2,2,100.000000000000
Fabrikam Microwave 1.5CuFt X1100 White,Online,2,2,100.000000000000
Fabrikam Coffee Maker Auto 10C M100 Grey,Online,1,1,100.000000000000
Contoso Reserve Pen -Tablet Pen E200 Blue,Online,2,2,100.000000000000
Adventure Works LCD20W M240 White,Online,3,3,100.000000000000
Contoso Optical Wheel OEM PS/2 Mouse E60 Black,Online,2,2,100.000000000000
Contoso 16GB Mp5 Player M1600 White,Online,2,2,100.000000000000
Fabrikam Budget Moviemaker 1/3'' 8.5mm E200 Black,Online,2,2,100.000000000000
Contoso Coffee Maker 12C M1000 Grey,Online,2,2,100.000000000000
"Fabrikam Social Videographer 1/3"" 8.5mm E200 Orange",Online,3,3,100.000000000000
Contoso 8GB Super-Slim MP3/Video Player M800 Green,Online,6,6,100.000000000000
Contoso Screen 106in M060 Black,Online,3,3,100.000000000000
Contoso Microwave 0.8CuFt E0080 Red,Online,1,1,100.000000000000
Contoso SLR Camera M144 Gold,Online,6,6,100.000000000000
Fabrikam Microwave 0.9CuFt E0900 Silver,Online,3,3,100.000000000000
Fabrikam Business Videographer 1'' 25mm M600 Black,Online,1,1,100.000000000000
Fabrikam Coffee Maker Super-Auto 12C X125 Black,Online,2,2,100.000000000000
Litware Microwave 1.5CuFt X110 Silver,Online,2,2,100.000000000000
Fabrikam Independent filmmaker 1/2'' 3mm X300 White,Online,2,2,100.000000000000
Contoso Screen 85in E085 Black,Online,2,2,100.000000000000
Contoso Air conditioner 12000BTU M0640 Silver,Online,1,1,100.000000000000
Contoso USB 2.0 Dock Station docking station M800 White,Online,2,2,100.000000000000
Contoso 4GB Flash MP3 Player E401 Black,Online,4,4,100.000000000000
Fabrikam Business Videographer 1/2'' 3mm M500 Black,Online,1,1,100.000000000000
Contoso Digital camera accessory kit M200 White,Online,1,1,100.000000000000
Litware Refrigerator 4.6CuFt E280 White,Online,1,1,100.000000000000
Contoso Education Essentials Bundle M300 Grey,Online,3,3,100.000000000000
Contoso USB Data Link-direct connect adapter E600 Black,Online,1,1,100.000000000000
Contoso Microwave 0.8CuFt E0080 White,Online,7,7,100.000000000000
Contoso USB Data Link - direct connect adapter E600 Grey,Online,3,3,100.000000000000
Fabrikam Microwave 1.0CuFt E1100 Red,Online,2,2,100.000000000000
Fabrikam Microwave 1.6CuFt M1250 Red,Online,1,1,100.000000000000
Fabrikam Coffee Maker Super-Auto 12C X125 Grey,Online,1,1,100.000000000000
Litware Refrigerator 9.7CuFt M560 Green,Online,2,2,100.000000000000
Fabrikam Microwave 0.9CuFt E0900 Blue,Online,2,2,100.000000000000
Contoso USB Optical Mouse E200 White,Online,1,1,100.000000000000
Contoso Air conditioner 8000BTU M0320 White,Online,1,1,100.000000000000
Contoso USB Data Link - direct connect adapter E600 White,Online,1,1,100.000000000000
Contoso Air conditioner 6000BTU E0180 Blue,Online,1,1,100.000000000000
"Fabrikam Trendsetter 1/2"" 3mm X300 Orange",Online,1,1,100.000000000000
Contoso Dual USB Power Adapter - power adapter E300 White,Online,1,1,100.000000000000
Litware Washer & Dryer 25.5in M350 Silver,Online,1,1,100.000000000000
Contoso Expandable 4-Handset Cordless Phone System M206 White,Online,5,5,100.000000000000
"Fabrikam Independent Filmmaker 1/2"" 3mm X300 Orange",Online,3,3,100.000000000000
Contoso Microwave 0.9CuFt E0090 Silver,Online,2,2,100.000000000000
Contoso Wireless Laser Mouse E50 Grey,Online,2,2,100.000000000000
Fabrikam Microwave 2.2CuFt M1250 Grey,Online,3,3,100.000000000000
Litware 18'' Adjustable Oscillating Pedestal Fan E301 Silver,Online,2,2,100.000000000000
Fabrikam Microwave 1.0CuFt E1100 Black,Online,3,3,100.000000000000
Litware Washer & Dryer 27in L420 Silver,Online,1,1,100.000000000000
Fabrikam Microwave 1.5CuFt X1100 Red,Online,3,3,100.000000000000
Fabrikam Microwave 1.0CuFt E1100 Grey,Online,1,1,100.000000000000
Contoso Bedroom Phone with AM/FM Stereo and Call Waiting Caller ID M600 White,Online,5,5,100.000000000000
Fabrikam Home and Vacation Moviemaker 1/2'' 3mm M300 White,Online,1,1,100.000000000000
Contoso Coffee Maker Auto 10C M1000 Grey,Online,3,3,100.000000000000
Litware 92mm DBB Case Fan E1101 Grey,Online,2,2,100.000000000000
Contoso Expandable 3-Handset Cordless Phone System M204 White,Online,3,3,100.000000000000
A. Datum Bridge Digital Camera M300 Black,Online,1,1,100.000000000000
Contoso Expandable1-Handset Cordless Phone System M207 White,Online,1,1,100.000000000000
Fabrikam Refrigerator 1.7CuFt E1200 White,Online,2,2,100.000000000000
