region,product_name,total_quantity,total_revenue,profit_margin,profit_margin_percentage
Alaska,Contoso DVD 60 DVD Storage Binder L20 Silver,12,274.68,183.72,66.88
Alaska,SV DVD 60 DVD Storage Binder L20 Black,13,297.57,199.03,66.88
Alaska,Contoso DVD 60 DVD Storage Binder L20 Red,6,137.34,91.86,66.88
Alaska,SV DVD 60 DVD Storage Binder L20 Red,3,68.67,45.93,66.88
Alaska,Contoso Primary Extended Capacity Battery Pack - notebook battery X100 Black,2,67.80,45.34,66.87
Alaska,NT Wireless Transmitter and Bluetooth Headphones M150 Silver,5,749.95,501.50,66.87
Alaska,NT Wireless Transmitter and Bluetooth Headphones M150 Red,4,599.96,401.20,66.87
Alaska,A. Datum Rangefinder Digital Camera X200 Orange,1,200.00,133.74,66.87
Alaska,NT Wireless Transmitter and Bluetooth Headphones M150 Blue,4,599.96,401.20,66.87
Alaska,Contoso Centrex Phone System L10 Grey,4,171.96,115.00,66.87
Alaska,MGS Classic Flight Collection X400,9,981.00,656.01,66.87
Alaska,NT Wireless Transmitter and Bluetooth Headphones M150 Black,7,1049.93,702.10,66.87
Alaska,MGS Dungeon Siege X300,3,327.00,218.67,66.87
Alaska,MGS MechWarrior 4 Mach Packs X100,3,327.00,218.67,66.87
Alaska,A. Datum Rangefinder Digital Camera X200 Pink,1,200.00,133.74,66.87
Alaska,"Adventure Works 52"" LCD HDTV X590 Silver",7,20299.93,13574.19,66.86
Alaska,A. Datum SLR Camera X141 Blue,1,427.00,285.53,66.86
Alaska,Proseware LCD24W X300 White,2,1738.00,1162.16,66.86
Alaska,SV DVD 14-Inch Player Portable L100 Black,5,1299.95,869.25,66.86
Alaska,Proseware Laptop19 X910 Black,2,2598.00,1737.24,66.86
Alaska,Adventure Works Desktop PC2.33 XD233 White,11,10659.00,7127.45,66.86
Alaska,Fabrikam Independent Filmmaker 1'' 25mm X400 Grey,1,1600.00,1069.89,66.86
Alaska,Fabrikam Coffee Maker Super-Auto 12C X125 White,1,1650.00,1103.32,66.86
Alaska,"Adventure Works 52"" LCD HDTV X790W Brown",5,7961.00,5323.35,66.86
Alaska,Proseware Professional Quality Plain-Paper Fax and Copier X100 White,3,687.00,459.39,66.86
Alaska,Proseware Projector 1080p DLP86 White,6,14994.00,10026.18,66.86
Alaska,Proseware Projector 1080p LCD86 Black,9,20655.00,13811.58,66.86
Alaska,Proseware LCD24W X300 Black,1,869.00,581.08,66.86
Alaska,Adventure Works Laptop19W X1980 White,3,3897.00,2605.86,66.86
Alaska,Fabrikam Microwave 1.5CuFt X1100 Black,3,1997.82,1335.90,66.86
Alaska,"Adventure Works 40"" LCD HDTV M690 Black",4,4739.88,3169.48,66.86
Alaska,"Adventure Works 52"" LCD HDTV X590 Black",6,17399.94,11635.02,66.86
Alaska,"Adventure Works 40"" LCD HDTV M690 White",4,4739.88,3169.48,66.86
Alaska,SV DVD Recorder L220 White,2,438.00,292.88,66.86
Alaska,The Phone Company PDA Handheld 4.7 inch L650 Black,1,389.00,260.12,66.86
Alaska,Proseware Slim-Design Fax Machine with Answering System X180 Black,1,236.00,157.81,66.86
Alaska,Contoso 32GB Video MP3 Player M3200 Red,3,765.00,511.53,66.86
Alaska,Fabrikam Trendsetter 1'' 25mm X400 Black,2,2060.00,1377.48,66.86
Alaska,"Fabrikam SLR Camera 35"" X358 Blue",5,2181.00,1458.40,66.86
Alaska,Contoso DVD Recorder L240 Gold,1,219.00,146.44,66.86
Alaska,Proseware Screen 125in X1609 White,2,918.00,613.84,66.86
Alaska,Litware Microwave 1.5CuFt X110 Blue,2,1331.88,890.60,66.86
Alaska,SV 22xDVD M600 Black,6,779.40,521.16,66.86
Alaska,SV Hand Games for Office worker L28 Black,1,16.99,11.36,66.86
Alaska,A. Datum SLR Camera X138 Silver Grey,5,3135.00,2096.30,66.86
Alaska,Proseware Laser Jet All in one X300 Grey,4,876.00,585.76,66.86
Alaska,Adventure Works Floor Lamp X1150 White,7,4451.93,2976.89,66.86
Alaska,Contoso In front of Centrex L15 Grey,1,46.99,31.42,66.86
Alaska,Adventure Works Laptop19W X1980 Silver,4,5196.00,3474.48,66.86
Alaska,A. Datum SLR Camera X137 Grey,4,2508.00,1677.04,66.86
Alaska,Proseware High Speed Laser M2000 Green,1,209.00,139.75,66.86
Alaska,The Phone Company PDA Phone 4.7 inches L360 Black,7,2814.00,1881.67,66.86
Alaska,Contoso Air conditioner 25000BTU L1672 White,1,635.99,425.27,66.86
Alaska,Proseware LCD24 X300 Black,6,4914.00,3285.90,66.86
Alaska,"Fabrikam SLR Camera 35"" X358 Silver",7,3053.40,2041.76,66.86
Alaska,Contoso Leather Case - case for digital photo camera X20 White,2,79.80,53.36,66.86
